complexity,token_count,loc,lloc,sloc,comments,multi,blank,code_comment,h1,h2,N1,N2,vocabulary,length,calculated_length,volume,difficulty,effort,time,bugs,change_type,added,removed,introspection,object_changes,code_generation,library_loading,defect
64,1421,245,125,200,5,7,34,250,7,30,17,34,37,51,166,265,3,1053,58,0,2,8,0,930,371,81,636,0
63,1405,1457,730,1242,11,6,188,1468,10,292,166,329,302,495,2424,4078,5,22973,1276,1,2,0,4,930,373,81,637,0
63,1405,74,35,59,1,0,14,75,3,14,7,14,17,21,58,85,1,128,7,0,2,0,4,930,374,81,638,0
63,1405,245,125,200,5,7,34,250,7,30,17,34,37,51,166,265,3,1053,58,0,2,0,4,940,375,81,639,0
43,2647,1457,730,1242,11,6,188,1468,10,292,166,329,302,495,2424,4078,5,22973,1276,1,2,0,5,940,377,81,640,0
307,7644,1455,414,1257,16,76,112,1471,5,41,23,46,46,69,231,381,2,1069,59,0,2,1,1,980,391,84,663,0
307,7644,669,365,481,22,61,110,691,15,103,63,122,118,185,747,1273,8,11311,628,0,2,1,1,990,391,85,664,0
75,1589,127,75,83,2,11,30,129,4,14,7,14,18,21,61,87,2,175,9,0,2,0,3,990,391,85,665,0
75,1589,652,304,544,16,6,88,668,6,89,51,101,95,152,591,998,3,3399,188,0,2,0,3,990,392,85,666,0
75,1589,2,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,990,392,85,666,0
75,1589,8,5,5,0,0,3,8,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,990,392,85,667,0
75,1589,2,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,990,392,85,667,0
75,1589,14,8,8,0,0,6,14,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,990,392,85,668,0
75,1589,6,4,4,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,990,392,85,669,0
75,1589,6,4,4,0,0,2,6,1,2,1,2,3,3,2,4,0,2,0,0,2,0,3,990,392,85,670,0
75,1589,6,4,4,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,990,392,85,671,0
75,1589,7,5,5,0,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,990,392,85,672,0
75,1589,6,4,4,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,990,392,85,673,0
