,complexity,token_count,loc,lloc,sloc,comments,multi,blank,code_comment,h1,h2,N1,N2,vocabulary,length,calculated_length,volume,difficulty,effort,time,bugs,change_type,added,removed,defect
121,5,535,652,304,544,16,6,88,668,6,89,51,101,95,152,591,998,3,3399,188,0,2,15,0,0
122,74,1848,1943,715,1694,26,18,214,1969,12,185,120,237,197,357,1436,2721,7,20915,1161,0,2,0,1,0
123,74,1848,1168,838,957,57,25,144,1225,19,348,224,416,367,640,3018,5452,11,61921,3440,1,2,0,1,0
124,20,484,182,127,129,0,0,53,182,5,39,21,42,44,63,217,343,2,926,51,0,2,4,1,0
125,20,484,1165,710,800,67,119,181,1232,18,243,153,282,261,435,2000,3492,10,36473,2026,1,2,4,1,0
126,154,2757,1338,495,1086,10,64,173,1348,11,122,82,157,133,239,883,1686,7,11934,663,0,2,6,1,0
127,20,486,182,127,129,0,0,53,182,5,39,21,42,44,63,217,343,2,926,51,0,2,1,1,0
128,20,486,1165,710,800,67,119,181,1232,18,243,153,282,261,435,2000,3492,10,36473,2026,1,2,1,1,0
129,10,344,182,127,129,0,0,53,182,5,39,21,42,44,63,217,343,2,926,51,0,2,6,0,0
130,75,1511,1457,730,1242,11,6,188,1468,10,292,166,329,302,495,2424,4078,5,22973,1276,1,2,8,1,0
131,75,1511,74,35,59,1,0,14,75,3,14,7,14,17,21,58,85,1,128,7,0,2,8,1,0
132,75,1511,245,125,200,5,7,34,250,7,30,17,34,37,51,166,265,3,1053,58,0,2,8,1,0
133,75,1611,127,75,83,2,11,30,129,4,14,7,14,18,21,61,87,2,175,9,0,2,7,3,1
134,75,1611,652,304,544,16,6,88,668,6,89,51,101,95,152,591,998,3,3399,188,0,2,7,3,1
135,75,1611,2,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,7,3,1
136,75,1611,8,5,5,0,0,3,8,0,0,0,0,0,0,0,0,0,0,0,0,2,7,3,1
137,75,1611,2,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,7,3,1
138,75,1611,14,8,8,0,0,6,14,0,0,0,0,0,0,0,0,0,0,0,0,2,7,3,1
139,75,1611,6,4,4,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,2,7,3,1
140,75,1611,6,4,4,0,0,2,6,1,2,1,2,3,3,2,4,0,2,0,0,2,7,3,1
141,75,1611,6,4,4,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,2,7,3,1
142,75,1611,7,5,5,0,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0,2,7,3,1
143,75,1611,6,4,4,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,2,7,3,1
144,75,1611,10,6,6,0,0,4,10,0,0,0,0,0,0,0,0,0,0,0,0,2,7,3,1
145,75,1611,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,7,3,1
146,75,1611,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,7,3,1
147,75,1611,14,10,10,0,0,4,14,1,1,1,1,2,2,0,2,0,1,0,0,2,7,3,1
148,75,1611,46,26,30,3,0,12,49,3,6,3,6,9,9,20,28,1,42,2,0,2,7,3,1
149,75,1516,1457,730,1242,11,6,188,1468,10,292,166,329,302,495,2424,4078,5,22973,1276,1,2,1,0,0
150,75,1516,74,35,59,1,0,14,75,3,14,7,14,17,21,58,85,1,128,7,0,2,1,0,0
151,75,1516,245,125,200,5,7,34,250,7,30,17,34,37,51,166,265,3,1053,58,0,2,1,0,0
152,63,1425,1457,730,1242,11,6,188,1468,10,292,166,329,302,495,2424,4078,5,22973,1276,1,2,1,26,1
153,63,1425,74,35,59,1,0,14,75,3,14,7,14,17,21,58,85,1,128,7,0,2,1,26,1
154,63,1425,245,125,200,5,7,34,250,7,30,17,34,37,51,166,265,3,1053,58,0,2,1,26,1
155,49,681,373,158,315,8,0,51,381,5,76,44,79,81,123,486,779,2,2026,112,0,2,15,0,1
156,44,2697,1457,730,1242,11,6,188,1468,10,292,166,329,302,495,2424,4078,5,22973,1276,1,2,3,1,1
157,28,1795,373,158,315,8,0,51,381,5,76,44,79,81,123,486,779,2,2026,112,0,2,33,81,1
158,63,1425,1457,730,1242,11,6,188,1468,10,292,166,329,302,495,2424,4078,5,22973,1276,1,2,1,1,0
